route_id,airline,origin_iata,destination_iata,origin_airport,destination_airport,origin_city,destination_city,origin_country,destination_country,origin_latitude,origin_longitude,destination_latitude,destination_longitude,region,distance_km,route_type,summer_2026_status,route_scope,data_note
QR-DOH-MIA,Qatar Airways,DOH,MIA,Hamad International Airport,Miami International Airport,Doha,Miami,QA,US,25.273056,51.608056,25.796011,-80.289751,Americas,12340,Ultra-long-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-MLE,Qatar Airways,DOH,MLE,Hamad International Airport,Velana International Airport,Doha,Malé,QA,MV,25.273056,51.608056,4.19183,73.529099,Asia-Pacific,3312,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-MNL,Qatar Airways,DOH,MNL,Hamad International Airport,Ninoy Aquino International Airport,Doha,Manila (Pasay),QA,PH,25.273056,51.608056,14.5086,121.019997,Asia-Pacific,7282,Long-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-MPM,Qatar Airways,DOH,MPM,Hamad International Airport,Maputo Airport,Doha,Maputo,QA,MZ,25.273056,51.608056,-25.920799,32.572601,Africa,6048,Long-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-MUN,Qatar Airways,DOH,MUN,Hamad International Airport,José Tadeo Monagas International Airport,Doha,Maturín,QA,VE,25.273056,51.608056,9.749023,-63.153348,Americas,11955,Long-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-MUX,Qatar Airways,DOH,MUX,Hamad International Airport,Multan International Airport,Doha,Multan,QA,PK,25.273056,51.608056,30.203199,71.419098,Asia-Pacific,2022,Short-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-MXP,Qatar Airways,DOH,MXP,Hamad International Airport,Milan Malpensa International Airport,Doha,Ferno (VA),QA,IT,25.273056,51.608056,45.6306,8.72811,Europe,4423,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-NBJ,Qatar Airways,DOH,NBJ,Hamad International Airport,Dr. Antonio Agostinho Neto International Airport,Doha,Luanda (Ícolo e Bengo),QA,AO,25.273056,51.608056,-9.050734,13.499078,Africa,5620,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-NBO,Qatar Airways,DOH,NBO,Hamad International Airport,Jomo Kenyatta International Airport,Doha,Nairobi,QA,KE,25.273056,51.608056,-1.318886,36.928233,Africa,3353,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-NCE,Qatar Airways,DOH,NCE,Hamad International Airport,Nice-Côte d'Azur Airport,Doha,"Nice, Alpes-Maritimes",QA,FR,25.273056,51.608056,43.658401,7.21587,Europe,4486,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
